14.048		161542	53693.6		152719	55698.2
14.049		161548	53696.2		152730	55700.2
14.05		161555	53698.9		152741	55702.2
14.051		161561	53701.5		152751	55704.2
14.052		161568	53704.1		152762	55706.2
14.053		161574	53706.7		152773	55708.2
14.054		161580	53709.3		152783	55710.2
14.055		161587	53711.9		152794	55712.2
14.056		161593	53714.6		152804	55714.2
14.057		161600	53717.2		152815	55716.2
14.058		161606	53719.8		152826	55718.2
14.059		161613	53722.4		152836	55720.3
14.06		161619	53725		152847	55722.3
14.061		161626	53727.6		152858	55724.3
14.062		161632	53730.3		152868	55726.3
14.063		161639	53732.9		152879	55728.3
14.064		161645	53735.5		152889	55730.3
14.065		161652	53738.1		152900	55732.3
14.066		161658	53740.7		152911	55734.3
14.067		161665	53743.3		152921	55736.3
14.068		161671	53746		152932	55738.3
14.069		161678	53748.6		152942	55740.3
14.07		161684	53751.2		152953	55742.3
14.071		161691	53753.8		152964	55744.3
14.072		161697	53756.4		152974	55746.3
14.073		161704	53759		152985	55748.3
14.074		161710	53761.6		152996	55750.3
14.075		161717	53764.3		153006	55752.3
14.076		161723	53766.9		153017	55754.3
14.077		161730	53769.5		153027	55756.3
14.078		161736	53772.1		153038	55758.3
14.079		161743	53774.7		153049	55760.3
14.08		161749	53777.3		153059	55762.3
14.081		161756	53779.9		153070	55764.3
14.082		161762	53782.5		153081	55766.3
14.083		161769	53785.2		153091	55768.3
14.084		161775	53787.8		153102	55770.3
14.085		161782	53790.4		153112	55772.3
14.086		161788	53793		153123	55774.3
14.087		161795	53795.6		153134	55776.3
14.088		161801	53798.2		153144	55778.3
14.089		161808	53800.8		153155	55780.3
14.09		161814	53803.4		153166	55782.3
14.091		161820	53806		153176	55784.3
14.092		161827	53808.7		153187	55786.2
14.093		161833	53811.3		153197	55788.2
14.094		161840	53813.9		153208	55790.2
14.095		161846	53816.5		153219	55792.2
14.096		161853	53819.1		153229	55794.2
14.097		161859	53821.7		153240	55796.2
14.098		161866	53824.3		153250	55798.2
14.099		161872	53826.9		153261	55800.2
14.1		161879	53829.5		153272	55802.2
14.101		161885	53832.1		153282	55804.2
14.102		161892	53834.7		153293	55806.2
14.103		161898	53837.4		153304	55808.1
14.104		161905	53840		153314	55810.1
14.105		161911	53842.6		153325	55812.1
14.106		161918	53845.2		153335	55814.1
14.107		161924	53847.8		153346	55816.1
14.108		161931	53850.4		153357	55818.1
14.109		161937	53853		153367	55820.1
14.11		161944	53855.6		153378	55822.1
